Designator,Mid X,Mid Y,Rotation,Layer
_4,131.08215,-51.5,0.0,top
_3,127.55,-51.5,0.0,top
_2,127.550001,-93.142893,0.0,top
,131.082151,-93.142893,0.0,top
C1,199.2375,-38.2,0.0,top
C2,59.8,-38.65,0.0,top
D1,45.72481845473123,-98.08382148869006,22.0,top
D10,97.916075,-81.189592,0.0,top
D11,97.916075,-64.189592,0.0,top
D12,97.916075,-47.189592,0.0,top
D13,115.916075,-85.314592,0.0,top
D14,115.916075,-68.314592,0.0,top
D15,115.916075,-51.314592,0.0,top
D16,95.586075,-102.314592,0.0,top
D17,115.72829407977117,-102.64435705675064,358.0,top
D18,213.83451439983557,-98.45842808210597,338.0,top
D19,220.20282639983554,-82.69630208210596,338.0,top
D2,39.356506454731225,-82.32169548869007,22.0,top
D20,226.57113839983555,-66.93417708210598,338.0,top
D21,198.54310778103397,-83.5943307034643,348.0,top
D22,202.07760578103395,-66.96582170346429,348.0,top
D23,205.61210478103396,-50.33731270346429,348.0,top
D24,180.5547727503083,-74.22253450611947,356.0,top
D25,181.7406327503083,-57.26394550611948,356.0,top
D26,182.9264937503083,-40.30535650611947,356.0,top
D27,161.716075,-81.189592,0.0,top
D28,161.716075,-64.189592,0.0,top
D29,161.716075,-47.189592,0.0,top
D3,32.98819445473123,-66.55957048869006,22.0,top
D30,143.716075,-85.314592,0.0,top
D31,143.716075,-68.314592,0.0,top
D32,143.716075,-51.314592,0.0,top
D33,164.046075,-102.314592,0.0,top
D34,143.90324574724792,-102.60945756004814,2.0,top
D4,61.06718981969984,-83.38641901264654,12.0,top
D5,57.53269081969984,-66.75791001264653,12.0,top
D6,53.99819181969984,-50.12940101264653,12.0,top
D7,79.07494036970799,-74.1527790299394,4.0,top
D8,77.88908036970798,-57.194190029939406,4.0,top
D9,76.70322036970799,-40.2356010299394,4.0,top
H1,73.761013,-88.331202,0.0,top
H2,184.871136,-88.331202,0.0,top
L1,165.55,-37.6,90.0,top
L2,168.05,-37.6,90.0,top
L3,170.55,-37.6,90.0,top
L4,92.85,-37.6,90.0,top
L5,90.35,-37.6,90.0,top
L6,87.85,-37.6,90.0,top
MCU1,228.13215,-43.16,0.0,top
MCU2,30.5,-43.16,0.0,top
MH1,126.6161,-111.8,0.0,top
MH2,132.01605,-111.8,0.0,top
MH3,45.45,-35.8,0.0,top
MH4,213.18215,-35.8,0.0,top
MH5,124.1,-35.8,0.0,top
MH6,134.53215,-35.8,0.0,top
MH7,24.0,-110.6,0.0,top
MH8,234.63215,-110.6,0.0,top
POWER1,101.616075,-34.039592,90.0,top
PWR_SW,157.016075,-34.039592,90.0,top
R1,51.782,-34.75,0.0,top
R2,51.782,-37.25,0.0,top
R3,51.782,-39.75,0.0,top
R4,206.85,-34.75,0.0,top
R5,206.85,-37.25,0.0,top
R6,206.85,-39.75,0.0,top
R7,199.2375,-35.6,0.0,top
R8,59.8,-36.05,0.0,top
RST1,110.416075,-34.564592,0.0,top
RST2,148.216075,-34.564592,0.0,top
SW1,46.253934,-100.728162,22.0,top
SW10,97.416075,-83.839592,0.0,top
SW11,97.416075,-66.839592,0.0,top
SW12,97.416075,-49.839592,0.0,top
SW13,115.416075,-87.964592,0.0,top
SW14,115.416075,-70.964592,0.0,top
SW15,115.416075,-53.964592,0.0,top
SW16,95.086075,-104.964592,0.0,top
SW17,115.136115,-105.275293,358.0,top
SW18,212.378215,-100.728162,338.0,top
SW19,218.746527,-84.966036,338.0,top
SW2,39.885622,-84.966036,22.0,top
SW20,225.114839,-69.203911,338.0,top
SW21,197.503068,-86.082466,348.0,top
SW22,201.037566,-69.453957,348.0,top
SW23,204.572065,-52.825448,348.0,top
SW24,179.871136,-76.831202,356.0,top
SW25,181.056996,-59.872613,356.0,top
SW26,182.242857,-42.914024,356.0,top
SW27,161.216075,-83.839592,0.0,top
SW28,161.216075,-66.839592,0.0,top
SW29,161.216075,-49.839592,0.0,top
SW3,33.51731,-69.203911,22.0,top
SW30,143.216075,-87.964592,0.0,top
SW31,143.216075,-70.964592,0.0,top
SW32,143.216075,-53.964592,0.0,top
SW33,163.546075,-104.964592,0.0,top
SW34,143.496034,-105.275293,2.0,top
SW4,61.129082,-86.082466,12.0,top
SW5,57.594583,-69.453957,12.0,top
SW6,54.060084,-52.825448,12.0,top
SW7,78.761013,-76.831202,4.0,top
SW8,77.575153,-59.872613,4.0,top
SW9,76.389293,-42.914024,4.0,top
TH1,79.761013,-92.081202,0.0,top
TH2,178.871136,-92.081202,0.0,top
